id;category;name;quantity;price_net;vat;price_gross;total_price_net;total_price_gross;stock;description;image;image_content_type;product_id;order_main_id
1;Vitamins;Vitamin D Now Foods;1;100;23;123;100;123;74;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;1;1
2;Minerals;Multi Mineral Swanson;1;2.6;23;3.2;2.6;3.2;163;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2;1
3;Vitamins;B Complex Nature Made;1;3.5;23;4.3;3.5;4.3;44;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;3;1
4;Vitamins;B12 Nature Made;1;5.5;23;6.77;5.5;6.77;94;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;4;2
5;Minerals;Magnesium Swanson;1;200;23;246;200;246;54;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;5;2
6;Vitamins;Vitamin A Now Foods;1;1000;23;1230;1000;1230;95;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;6;2
7;Vitamins;Multi Vitamins Nature Made;1;55.5;23;66.27;55.5;66.27;120;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;7;3
8;Minerals;Zinc Align;1;77.7;23;95.57;77.77;95.57;969;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;8;3
9;Vitamins;Aloevere Nutriherbs;1;300;23;369;300;369;882;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;9;4
10;Minerals;Selenium Modere;1;813;23;1000;813;1000;990;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10;4
